ID,TITULO,AUTOR,PRECIO,IDEDITORIAL
109,Fredrika,Magdalene,926.00,5
75,Tucky,Maggee,576.00,6
170,Langston,Marius,430.00,4
38,Heall,Marnie,145.00,5
161,Neall,Mickey,333.15,2
103,Eryn,Mildrid,472.00,3
91,Alva,Miner,700.00,4
196,Rosaline,Moise,306.69,1
94,Flori,Mollie,212.00,1
10,Donny,Munmro,248.32,1
63,Natale,Nert,709.00,5
163,Rosemonde,Nessy,355.02,2
35,Cyndy,Nessy,24.00,4
5,Lorine,Nestor,11.00,5
79,Sanderson,Niki,243.00,1
145,Malory,Nikolaos,615.00,5
72,Arda,Nikolas,572.00,3
82,Daffi,Nissa,434.00,4
101,Brittani,Oberon,159.00,4
23,Madlen,Odell,710.00,4
155,Jeanine,Odo,472.00,5
105,Hamlen,Paddie,952.00,5
134,Denyse,Pall,358.00,4
185,Bernete,Payton,310.78,1
124,Gilburt,Penrod,124.00,1
33,Casie,Percival,184.44,2
12,Fletcher,Perl,173.00,6
128,Georgie,Philly,101.00,2
173,Darcy,Pierette,507.39,1
165,Quintina,Pierre,247.00,6
73,Jorey,Pippo,255.15,2
95,Shelli,Prudy,333.00,6
47,Jane,Randene,807.00,6
15,Levy,Raven,943.00,5
142,Amata,Rivy,211.00,3
197,Bessie,Rodge,193.00,5
45,Sibley,Romona,515.40,2
130,Inga,Rosalinda,549.00,5
48,Marinna,Rosalinda,306.18,1
190,Essy,Rutter,18.00,6
195,Johnathon,Sabina,113.00,4
18,Gamaliel,Sarene,434.00,5
19,Selena,Sashenka,879.00,3
143,Cherianne,Savina,452.10,1
116,Rhianna,Sela,659.00,6
58,York,Sharyl,444.42,1
126,Lani,Shaughn,227.00,4
115,Mozes,Sherlocke,751.00,6
146,Olenolin,Sonnie,217.97,2
152,Hedda,Stearn,200.00,1
56,Louisette,Stormie,211.00,3
24,Claudette,Suzann,643.00,5
99,Honoria,Tabina,759.00,5
78,Sandro,Tamqrah,513.00,5
135,Fancie,Theo,645.00,6
89,Ferdinanda,Thurstan,360.45,1
138,Wilek,Tiffanie,600.00,5
29,Virginia,Timmie,322.00,3
50,Herman,Tonye,969.00,5
114,Janetta,Tracy,547.00,4
164,Jamesy,Udale,268.00,1
2,Irwinn,Vally,512.00,5
66,Tally,Vi,832.00,6
168,Haily,Vicky,692.00,4
117,Reeba,Willa,392.93,2
158,Patrizius,Wren,417.79,1
46,Jasper,Wye,576.64,2
175,Lewes,Yancy,667.00,6
108,Rosalyn,Zebulen,418.45,2
85,Alvan,Zia,947.00,6
199,Corrina,Zoe,389.12,1
139,Trev,Zonda,594.00,5
